Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
PizzaExpress,9421190935,5403258,5403258,4 High Street Sutton Surrey,SM1 1HN,Sutton,,,A,avios,133
PizzaExpress,9421192212,5413794,5413794,PE Swiss Cottage,,Sutton,,,A,avios,133
PizzaExpress,9421191362,5402730,5402730,137 High Street Watford Hertfordshire,WD17 2ER,Watford,,,A,avios,133
PizzaExpress,9421188855,5413216,5413216,1 Bridge Street Winchester Hampshire,SO23 9BH,Winchester,,,A,avios,133
PizzaExpress,9421187931,5409735,5409735,65/67 Goldsworth Road Woking Surrey,GU21 6LJ,Woking,,,A,avios,133
PizzaExpress,9421191297,5410287,5410287,Stanford Cottage Warwick Street Worthing West Sussex,BN11 3EZ,Worthing,,,A,avios,133
PizzaExpress,9421188244,5413638,5413638,252 Chiswick High Road Chiswick London,W4 1PD,Chiswick,,,A,avios,133
PizzaExpress,9421188525,5403159,5403159,144 Upper Richmond Road Putney London,SW15 2SW,Putney,,,A,avios,133
PizzaExpress,9421138322,5409826,5409826,701-703 Green Lanes Winchmore Hill London,N21 3RS,Winchmore Hill,,,A,avios,133
PizzaExpress,9421195694,5403183,5403183,198 Trinity Road Wandsworth London,SW17 7HR,Wandsworth,,,A,avios,133
PizzaExpress,9421141326,5410170,5410170,7/8 Thames Street Windsor Berkshire,SL4 1PL,Windsor,,,A,avios,133
PizzaExpress,9421139403,5409776,5409776,114 Watling Street Radlett Hertfordshire,WD7 7AB,Radlett,,,A,avios,133
PizzaExpress,9421141979,5413026,5413026,10 Hay Lane Coventry West Midlands,CV1 5RF,Coventry,,,A,avios,133
PizzaExpress,9421195538,5413612,5413612,39 Abbey Road St Johns Wood London,NW8 0AA,St Johns Wood,,,A,avios,133
PizzaExpress,9421195769,5403373,5403373,32 Queensferry Street Edinburgh,EH2 4QS,Edinburgh,,,A,avios,133
PizzaExpress,9421928938,5410683,5410683,2 Albert Street Harrogate North Yorkshire,HG1 1JG,Harrogate,,,A,avios,133
PizzaExpress,9421152612,5409909,5409909,97 High Street Orpington Kent,BR6 0LF,Orpington,,,A,avios,133
PizzaExpress,9421152968,5402946,5402946,131-133 St Marys Lane Upminster Essex,RM14 2SH,Upminster,,,A,avios,133
PizzaExpress,9421152745,5410394,5410394,20 Bridge Street Taunton Somerset,TA1 1UB,Taunton,,,A,avios,133
PizzaExpress,9421152869,5413562,5413562,91 High Street Tonbridge Kent,TN9 1DR,Tonbridge,,,A,avios,133
PizzaExpress,9421152513,5403381,5403381,1 Deanhaugh Street Edinburgh,EH4 1LU,Edinburgh,,,A,avios,133
PizzaExpress,9421928995,5409818,5409818,Theatre Square Stratford East London,E15 1BX,Stratford,,,A,avios,133
PizzaExpress,9421929118,5403217,5403217,24 High Street Banstead Surrey,SM7 2LJ,Banstead,,,A,avios,133
PizzaExpress,9421929050,5410352,5410352,29-32 High Street Cardiff,CF10 1PU,Cardiff,,,A,avios,133
PizzaExpress,9421929324,5403589,5403589,The Pheasantry 152/154 Kings Road London,SW3 4UT,London,,,A,avios,133
PizzaExpress,9421929209,5409693,5409693,19-23 East Street Horsham West Sussex,RH12 1HH,Horsham,,,A,avios,133
PizzaExpress,9421928748,5409727,5409727,1 Monument Hill Weybridge Surrey,KT13 8RX,Weybridge,,,A,avios,133
PizzaExpress,9421928870,5413851,5413851,124 Devonshire Street Sheffield Yorkshire,S3 7SF,Sheffield,,,A,avios,133
PizzaExpress,9421928805,5409925,5409925,6 Elm Parade Sidcup Kent,DA14 6NF,Sidcup,,,A,avios,133
PizzaExpress,9421929381,5410725,5410725,Park House Park Square West Leeds Yorkshire,LS1 2PS,Leeds,,,A,avios,133
PizzaExpress,9421929696,5410196,5410196,33 High Street Arundel West Sussex,BN18 9AG,Arundel,,,A,avios,133
PizzaExpress,9421931163,5413810,5413810,83-85 High Street Cheadle Cheshire,SK8 1AA,Cheadle,,,A,avios,133
PizzaExpress,9421929787,5410402,5410402,16 The Strand Torquay Devon,TQ1 2AA,Torquay,,,A,avios,133
PizzaExpress,9421930165,5413430,5413430,26-28 Alderley Road Wilmslow Cheshire,SK9 1PL,Wilmslow,,,A,avios,133
PizzaExpress,9421929845,5410253,5410253,15 High Street Lewes East Sussex,BN7 2LN,Lewes,,,A,avios,133
PizzaExpress,9421930868,5403597,5403597,80-81 St Martins Lane Covent Garden London,WC2N 4AA,London,,,A,avios,133
PizzaExpress,9421930744,5410436,5410436,39 High Street Banbury Oxfordshire,OX16 5ET,Banbury,,,A,avios,133
PizzaExpress,9421930801,5409677,5409677,127-129 High Street Godalming Surrey,GU7 1AF,Godalming,,,A,avios,133
PizzaExpress,9421931106,5403043,5403043,7/9 St Bride Street London,EC4A 4AS,London,,,A,avios,133
PizzaExpress,9421931049,5403357,5403357,402-404 Union Street Aberdeen,AB10 1TQ,Aberdeen,,,A,avios,133
PizzaExpress,9421930926,5413497,5413497,22 The Broadway Haywards Heath,RH16 3AL,Haywards Heath,,,A,avios,133
PizzaExpress,9421931221,5413117,5413117,5-7 Birmingham Road Sutton Coldfield,B72 1QA ,Sutton Coldfield,,,A,avios,133
PizzaExpress,9421931767,5403571,5403571,PE Golden Square,,,,,A,avios,133
PizzaExpress,9421931825,5409990,5409990,The Cardamom Building 31 Shad Thames London,SE1 2YR,London,,,A,avios,133
PizzaExpress,9421928912,5403654,5403654,46 Moreton Street Pimlico London,SW1V 2PB,London,,,A,avios,133
PizzaExpress,9421928722,5414016,5414016,24-26 Goosegate Nottingham,NG1 1FF,Nottingham,,,A,avios,133
PizzaExpress,9421928789,5403399,5403399,23 Northbridge Edinburgh,EH1 1SB,Edinburgh,,,A,avios,133
PizzaExpress,9421928979,5403506,5403506,The Gate House 1-2 High Street Harpenden Hertfordshire,AL5 2TH,Harpenden,,,A,avios,133
PizzaExpress,9421928854,5409891,5409891,8 Royal Parade Chislehurst,BR7 6NR,Chislehurst,,,A,avios,133
PizzaExpress,9421929035,5413901,5413901,2 The Boulevard Crawley West Sussex,RH10 1XX,Crawley,,,A,avios,133
PizzaExpress,9421929092,5413927,5413927,95 Lapwing Lane West Didsbury Lancashire,M20 6UR,Didsbury,,,A,avios,133
PizzaExpress,9421929159,5403308,5403308,64-66 Tranquil Vale Black Heath London,SE3 0BN,Blackheath,,,A,avios,133
PizzaExpress,9421930983,5413034,5413034,25 Irongate Derby Derbyshire,DE1 3GL,Derby,,,A,avios,133
PizzaExpress,9421930751,5410642,5410642,37 North Bar Within Beverley Yorkshire,HU17 8BD,Beverley,,,A,avios,133
PizzaExpress,9421713934,5410584,5410584,5 Ely Street Stratford upon Avon,CV37 6LW,Stratford Upon Avon,,,A,avios,133
PizzaExpress,9421930637,5403423,5403423,436 Sauchiehall Street Glasgow,G2 3JD,Glasgow,,,A,avios,133
PizzaExpress,9421930819,5410246,5410246,107 Church Road Hove East Sussex,BN3 2AF,Hove,,,A,avios,133
PizzaExpress,9421931239,5410089,5410089,2-4 Bridge Street Maidenhead Berkshire,SL6 8BJ,Maidenhead,,,A,avios,133
PizzaExpress,9421931296,5413414,5413414,14-15 Winckley Street Preston,PR1 2AA,Preston,,,A,avios,133
PizzaExpress,9421713454,5410378,5410378,Pilgrims House 17 Derrys Cross Plymouth Devon,PL1 2SW,Plymouth,,,A,avios,133
PizzaExpress,9421864513,5410006,5410006,4 Borough High Street London Bridge London,SE1 9QQ,London,,,A,avios,133
PizzaExpress,9421928797,5403639,5403639,316 Kennington Road Kennington London,SE11 4LD,Kennington,,,A,avios,133
PizzaExpress,9421928730,5413463,5413463,10 Croydon Road Caterham Surrey,CR3 6QB,Caterham,,,A,avios,133
PizzaExpress,9421930694,5403662,5403662,85 Victoria Street London,SW1H 0HW,London,,,A,avios,133
PizzaExpress,9421713637,5403035,5403035,4-5 Langham Place London,W1B 3DG,London,,,A,avios,133
PizzaExpress,9421931171,5410675,5410675,64 Sadler Street Durham,DH1 3PG,Durham,,,A,avios,133
PizzaExpress,9421928581,5413281,5413281,24/26 Lloyds Avenue Ipswich Suffolk,IP1 3HD,Ipswich,,,A,avios,133
PizzaExpress,9421928672,5410659,5410659,1 Skinnergate Darlington County Durham,DL3 7NB,Darlington ,,,A,avios,133
PizzaExpress,9421713330,5403316,5403316,VWL013 The Village Bluewater Greenhithe Kent,DA9 9SE,Bluewater,,,A,avios,133
PizzaExpress,9421713579,5402748,5402748,450 Strand London,WC2R 0RG,London,,,A,avios,133
PizzaExpress,9421613241,5414040,5414040,1 Causeway  High Street Haslemere Surrey,GU27 2JZ,Haslemere,,,A,avios,133
PizzaExpress,9421713397,5409644,5409644,96-102 High Street Cranleigh Surrey,GU6 8AE,Cranleigh,,,A,avios,133
PizzaExpress,9421713819,5410386,5410386,40 Castle Street Swansea,SA1 1HZ,Swansea,,,A,avios,133
PizzaExpress,9421608456,5409941,5409941,3 High Street West Wickham Kent,BR4 0LP,West Wickham,,,A,avios,133
PizzaExpress,9421613126,5410774,5410774,14-15 Barnes High Street Barnes London,SW13 9LW,Barnes,,,A,avios,133
PizzaExpress,9421613068,5403464,5403464,12 Sycamore Road Amersham Buckinghamshire,HP6 5DR,Amersham,,,A,avios,133
